Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 23:59:35 +0000 2016,James F. Ruffer III,,,We usually fly @Delta but had to go @AmericanAir and remember why. They forgot to clean before flight mem to clt https://t.co/tLuNElla9h
Tue Nov 22 23:57:24 +0000 2016,Stevie Lewis,,,@AmericanAir woulyou please help to confirm that my out trip from lax to London is a business class ticket. https://t.co/IIVvqDGujt
Tue Nov 22 23:57:22 +0000 2016,OITW,,,@AmericanAir really rude and horrible gate crew for flight PHL to BOS
Tue Nov 22 23:55:37 +0000 2016,JeremyBeardsley,,,@AmericanAir just because its policy doesn't make it any less of a silly cash grab. We bought adult ticket for a funeral and are now stuck
Tue Nov 22 23:55:34 +0000 2016,Joshua Owen,,,This is disgusting @AmericanAir and I hope an investigation takes place as to why this happened. https://t.co/0XKEQR6OS2
Tue Nov 22 23:53:38 +0000 2016,Rupesh Malladi,,,@AmericanAir : Record locator#YCJGFX Flight delayed multiple times. Going to be Stranded at charlotte with nowhere to stay tonight. HELP!!
Tue Nov 22 23:53:13 +0000 2016,Liz Richards,,,"@AmericanAir, this happened to my best friend's French horn on his flight with you. He's supposed to play my weddinâÄ_ https://t.co/J9EcOTGvLc"
Tue Nov 22 23:52:27 +0000 2016,Pinny Kahana,,,.@AmericanAir you guys gotta do a better job managing the size of people on planes. Guy next to me does not fit in his seat #needs2seats
Tue Nov 22 23:52:08 +0000 2016,BÃ¡rbara Genovezzi,,,@oguicirino wi-fi primeiro na @AmericanAir com direito a lanchinho https://t.co/Jm5SIJU9Nf
Tue Nov 22 23:49:48 +0000 2016,Lauren elbert,,,"Appalled at @AmericanAir at ORD. Closed all priority security lanes - arrived 2 hours early, cust service providing no assistance to first"
Tue Nov 22 23:48:35 +0000 2016,Edward Tennant,,,"@AmericanAir For any and all American Air customers please contact me before you pay for ""status"" on this airline."
Tue Nov 22 23:47:33 +0000 2016,Ryan Duchak,,,@AmericanAir I have been rebooked. Fortunately @Delta was quite accommodating and will now be my airline of choice.
Tue Nov 22 23:47:22 +0000 2016,Chris,,,"Shout out to @AmericanAir and @fly2ohare for having one security line open in T3. Looks like I, along w/ 100s more, will miss flights."
Tue Nov 22 23:47:20 +0000 2016,AA News,,,"@AmericanAir Group, Inc. (NASDAQ:AAL) A Quick Look at the Shares - AR News : https://t.co/TERW7Onxfx"
Tue Nov 22 23:45:55 +0000 2016,Hooray 4 Refugees,,,"@AmericanAir @ananavarro in a moment? she dont play  this is the woman who said ""pussy"" on CNN... id say DM her NOW! https://t.co/sJarMuzVlK"
Tue Nov 22 23:45:52 +0000 2016,Karla Helbert,,,This is reprehensible. I know this beautiful family personally. @AmericanAir you should be ashamed. #Equality #LGBT https://t.co/rarJg7lx3q
Tue Nov 22 23:45:39 +0000 2016,mads,,,@Bradenking4King @AmericanAir thanks you too!!_üòä
Tue Nov 22 23:45:09 +0000 2016,bradenking,,,@madsmcferren @AmericanAir I wish haha. Have a safe flight
Tue Nov 22 23:44:34 +0000 2016,Annie Zoll,,,We Will Prevail. @AmericanAir you should be ashamed. #Equality #LGBT https://t.co/hoAvfIG1RO
Tue Nov 22 23:44:28 +0000 2016,Alex Nahas,,,Wheels up and finally TX bound! @AmericanAir #plsdontlosemybag. See you soon @surbonas âúàï¸è
,,,,
Wed Nov 23 23:58:15 +0000 2016,TypeOfGraphic,,,"Well, the @AmericanAir bag check-in #UX is awful. No clear instructions, confusing queues, staff a little rude if you offer feedback"
Wed Nov 23 23:58:12 +0000 2016,Rebecca Wilson,,,"Win! A weekend in NYC from @fathomwaytogo 
@henribendel @wellandgoodnyc @savoteurco @AmericanAir @Loews_Regency
 https://t.co/p2wGHBCx3I"
Wed Nov 23 23:57:59 +0000 2016,Alex George,,,@AmericanAir thank god I switched flights! Plane still sitting on the ground now goin on a 4 hour delay! Thanks for nothin!
Wed Nov 23 23:57:30 +0000 2016,Samantha Mueller,,,@AmericanAir honestly that's what I've been doing for the past four and a half hours
Wed Nov 23 23:55:42 +0000 2016,Leon Burks,,,@AmericanAir leave it to American to be delayed for no reason other than the crew will be 1.5hours late.  Like they don't care.
Wed Nov 23 23:52:36 +0000 2016,Olga George,,,Hey @AmericanAir how about some music while folks are boarding the planes this holiday season? It may get people moving easier. #musiclover
Wed Nov 23 23:52:13 +0000 2016,Carlos Castillo,,,@AmericanAir #AmericanView flying over the Caribbean from SDQ en route to MIA https://t.co/PACeXxI0tE
Wed Nov 23 23:50:34 +0000 2016,Lexy,,,@AmericanAir Done.
Wed Nov 23 23:50:23 +0000 2016,Christoph Trappe,,,Enjoying business class on @AmericanAir en route to @ibtmworld and other #contentmarketing and #storytelling talksâÄ_ https://t.co/W1rKKXsE95
Wed Nov 23 23:50:21 +0000 2016,Drago_Corporate,,,"@AmericanAir no worries, crew. Every gate change is just another helping of delicious Mashed potatoes I can snag ^^"
Wed Nov 23 23:50:07 +0000 2016,Javier Alvarez,,,@AmericanAir in any case thanks again for being so responsive!
Wed Nov 23 23:49:54 +0000 2016,Javier Alvarez,,,@AmericanAir I thought that's what we provide an emergency contact for - so those waiting don't have to worry when the unexpected happens
Wed Nov 23 23:49:01 +0000 2016,Daniel Gradel,,,@AmericanAir Maybe @Delta wants me? lol
Wed Nov 23 23:48:24 +0000 2016,Samantha Mueller,,,@AmericanAir yeah the problem is that I don't have the money to purchase the flight right now with the two charges currently in limbo
Wed Nov 23 23:46:09 +0000 2016,Javier Alvarez,,,@AmericanAir Thank you! The biggest inconvenience was caused to those waiting for us since we couldn't notify them. Prhaps AA shld nxt time?
Wed Nov 23 23:43:51 +0000 2016,2016isYear,,,@AmericanAir _üëâGive me 1 reason why AA DECREASES their First Class Cabin by 4 seats and replaces row w +2 Coach seats? Revenue is a loss
Wed Nov 23 23:43:44 +0000 2016,AmberBob,,,And maybe record any calls you make to @AmericanAir so that you can play back whatever the previous rep said. I wish I had.
Wed Nov 23 23:43:07 +0000 2016,Tyler Perry,,,"@AmericanAir I would really enjoy a free ride home Sunday from Akron, canton to Memphis"
Wed Nov 23 23:42:57 +0000 2016,AmberBob,,,"So my advice, dear readers, the moral of the story, is if you do business with @AmericanAir, get the name of everyone you talk to."
Wed Nov 23 23:42:03 +0000 2016,AmberBob,,,Because apparently even within the company @AmericanAir didn't know what to do with this situation. And that's a shame.
,,,,
Thu Nov 24 23:51:36 +0000 2016,Mahmoud Abulhassan,,,@AmericanAir happy Thanksgiving!
Thu Nov 24 23:44:33 +0000 2016,Lance Gobaira,,,@AmericanAir just got me home 1 hour early  PHL-MIA! Thanks for being AAwesome _üòé
Thu Nov 24 23:35:54 +0000 2016,Julia Arciga,,,"@AmericanAir I can't check-in online, every time I try it brings me to an error page!"
Thu Nov 24 23:34:45 +0000 2016,Richard Thompson,,,Always fun to be met by airport fire services on landing. Thanks @AmericanAir for putting us on a plane without working flaps.  #AA1089
Thu Nov 24 23:30:05 +0000 2016,Jason Palmer,,,"@AmericanAir hey there,  We've now been told that because we were not first class there is no accommodation for us. I'm diabetic.  Thanks!!!"
Thu Nov 24 23:30:04 +0000 2016,YS,,,@AmericanAir do you allow guinea pigs as Emotional support animal as carry on? With the form and letter provided by a licensed doctor?
Thu Nov 24 23:28:08 +0000 2016,Julia Arciga,,,@AmericanAir please fix your online check-in system - thanks!
Thu Nov 24 23:27:44 +0000 2016,Michelle Mariani,,,@AmericanAir was on flight 82 AKL-LAX Waitlisted for systemwide -guaranteed main cabin extra-Air NZ is charging $1499 for the same?
Thu Nov 24 23:22:59 +0000 2016,Salvador Avila,,,@AmericanAir you should change your CC provider in #Mexico. @ContactoCitibmx is by far the worst provider.
Thu Nov 24 23:22:10 +0000 2016,Kyle Turner,,,"It was an absolute pleasure spending Thanksgiving with @AmericanAir!  I have a ton to be thankful for, and American Airlines is one of them!"
Thu Nov 24 23:22:01 +0000 2016,RuthFunk,,,Thank u @AmericanAir for finding our missing luggage -wonderful customer service on Thanksgiving day. Kudos CristenâÄ_ https://t.co/k1ZhGFvCeo
Thu Nov 24 23:21:39 +0000 2016,levi weeks,,,https://t.co/CrdVQNRgoC @united @delta @southwestair @americanair @koreanair @british_airways  @oliverjolynn54  . #avgeek watch this
Thu Nov 24 23:15:20 +0000 2016,Liz Murph,,,@AmericanAir I think my grammar was a little wrong on that one but let's ignore it for now.
Thu Nov 24 23:14:59 +0000 2016,Robert Arredondo,,,"""GreAAt thanksgiving."" Very well played, @AmericanAir! Your cleverness means you win the internet. https://t.co/RSqBG4l9Xx"
Thu Nov 24 23:14:47 +0000 2016,Celeste Chang,,,"@AmericanAir Thank you for the quick response. Our flight is AA101, and we are on row 13.(Pretty sure most ppl know what seltzer water is.)"
Thu Nov 24 23:14:37 +0000 2016,Liz Murph,,,@AmericanAir the gate agent was satan's spawn but kk thx
Thu Nov 24 23:14:29 +0000 2016,Laura Stambach,,,@AmericanAir I was headed home to finally adopt my dog who just had heart surgery. It's been tough enough already without his insensitivity
Thu Nov 24 23:13:04 +0000 2016,Laura Stambach,,,"@AmericanAir while I was already crying at the counter. I don't care about a turkey dinner, but to be so rude to a young woman is gross"
Thu Nov 24 23:10:59 +0000 2016,Laura Stambach,,,"Special Thanks to the @AmericanAir man who told me "" what don't you get, you aren't getting home to your family for the holiday"" #american"
Thu Nov 24 23:09:43 +0000 2016,Cashlin O'Connor,,,Are any airlines doing any gnarly Black Friday deals?? @Delta @AmericanAir @FijiAirways @VirginAmerica @SouthwestAir
,,,,
Fri Nov 25 23:59:21 +0000 2016,Dan Gainor,,,@TheBlazeHotList Just don't fly @AmericanAir if you want to get there or back.
Fri Nov 25 23:59:10 +0000 2016,Dawn G,,,@AmericanAir after travelling 24 hrs only to be harrassed by employee Eugene Elysee at the gate is a big problem. Will not choose AA again
Fri Nov 25 23:55:53 +0000 2016,Kevin Torres-Cuautli,,,@AirlineFlyer @AmericanAir They just won't change the tenderloin and oxtail ravioli. Dear God.
Fri Nov 25 23:55:22 +0000 2016,Michael Duda,,,@AmericanAir Recieved an offer to upgrade family of 5 to first class. Then it disappeared? Confirm #KHQMYK. Thanks.
Fri Nov 25 23:51:32 +0000 2016,John Scott Lewinski,,,". @AmericanAir 45 min for bags to unload at a dead MKE on a big travel wknd. Did someone on your baggage crew die?! ""Going for awful!"""
Fri Nov 25 23:45:50 +0000 2016,Stephen Richardson,,,@Americanair I've flown w/ same stroller 5 yrs. Forced to weigh and check it 4 1st time 2day on return trip. Where did this rule come from?
Fri Nov 25 23:44:37 +0000 2016,FurloughedAgain,,,@AirlineGeeks @AmericanAir sad.
Fri Nov 25 23:43:11 +0000 2016,Lindsay McSweeney,,,@AmericanAir #shittycustomerservice #neveragain
Fri Nov 25 23:42:19 +0000 2016,Lindsay McSweeney,,,8 hour delay with @AmericanAir and all I get is a lame $100 voucher which flies me about 2 miles and a free bag of Doritos..#priceless
Fri Nov 25 23:39:55 +0000 2016,George Field,,,What the hell @AmericanAir??? 30k AAdvantage Miles missing from my account today and am told it was for someone else's upgrade???
Fri Nov 25 23:35:11 +0000 2016,The Value Traveler,,,20% bonus on purchased miles #BlackFriday at @AmericanAir #AAdvantage #travel #Airlines
Fri Nov 25 23:33:26 +0000 2016,ria sim,,,"#TY @AmericanAir _üôå_üè» Just booked #businessclass SFO to JFK âúàï¸è as always, quick &amp; easy booking my #flight _üòâ  #flatbed #AmericanAirlines"
Fri Nov 25 23:32:15 +0000 2016,Scott@NextGenUSA,,,NextGenUSA squad at JFK ready for Argentinian adventure @AmericanAir #nextgenusa https://t.co/qjOMYJSiGu
Fri Nov 25 23:31:40 +0000 2016,Thao Duong,,,@AmericanAir 3rd time I've had to check my bag when there's room on the plane and have waited over 45 minutes at baggage claim
Fri Nov 25 23:31:28 +0000 2016,w.,,,"@AmericanAir been told to wait a couple of hours for luggage delivery notification, but been waiting all day. very dissapointed :["
Fri Nov 25 23:30:04 +0000 2016,w.,,,"@AmericanAir got rerouted to Ewr by flying @weareunited. 4 bags missing - 3 tracked, 1 who knows where. no one has exact answers for me."
Fri Nov 25 23:30:03 +0000 2016,petty spaghetti,,,I appreciate the cheap flight @AmericanAir but why a layover in Charlotte to fly to ft lauderdale? #confusedtweet
Fri Nov 25 23:25:29 +0000 2016,Suzanne Kianpour,,,Not cool @AmericanAir. Specifically booked 8am flight w u cos of early arrival. Could've booked another airline ifâÄ_ https://t.co/Fi4SqmCJlj
Fri Nov 25 23:24:00 +0000 2016,TouringTony.Com,,,Only 2 #first seats out of 12 on @AmericanAir occupied I feel #special up here all alone almost #travel #first #okc #lax #letsgo
Fri Nov 25 23:23:12 +0000 2016,Jason Rabinowitz,,,"@karung99 @SamuelAdamsBeer @AmericanAir except they didn't have that today, despite it being on the menu"
,,,,
Sat Nov 26 23:59:54 +0000 2016,DFW Tower.com,,,"Photo of N494AA, an @AmericanAir Super 80 seen at #DFW eight years ago. #avgeek #airlines https://t.co/K3ckCjrVJF"
Sat Nov 26 23:59:35 +0000 2016,Paul's Letters _üìé,,,@AmericanAir They could see our connection was on time and that we had to sprint across two terminals. But they gave away our seats!
Sat Nov 26 23:58:26 +0000 2016,ChrisNH,,,"Why doesn't @AmericanAir use their A321 BOS-LAX instead of the 737? Bigger, nicer plane and 'others' now using it."
Sat Nov 26 23:56:49 +0000 2016,âú¨A Jermaineâú¨,,,@AmericanAir **Indeed!**
Sat Nov 26 23:55:50 +0000 2016,CMA,,,@AmericanAir just landed and taxiing. Any chance 1371 will be held for 5 mins? We will run... but gotta get from A to C
Sat Nov 26 23:55:28 +0000 2016,Kent Ross,,,@AmericanAir cool
Sat Nov 26 23:54:09 +0000 2016,Paul's Letters _üìé,,,@AmericanAir The gate agent accused us of taking a pit stop on our way to the gate when we were sprinting from our other gate. Terribly rude
Sat Nov 26 23:53:34 +0000 2016,Katie B.,,,@AmericanAir No worries. It wasn't a complaint about the airline. Just commentary on older married couples on planes.
Sat Nov 26 23:53:05 +0000 2016,BullCityVA,,,@AmericanAir The airport team says they can't do anything and calling you costs me $2 a minute...
Sat Nov 26 23:52:59 +0000 2016,Paul's Letters _üìé,,,@AmericanAir And nobody was asking them to hold a flight past when they should have- we got there on time. THEY violated YOUR procedures
Sat Nov 26 23:52:02 +0000 2016,Leticia Echavarria,,,@AmericanAir @helenenothelen Please help us. Our uniform is poisoning us. Please talk to Jazton Kennedy at 817-721-3074. This is serious !!!
Sat Nov 26 23:52:01 +0000 2016,Paul's Letters _üìé,,,@AmericanAir We did. But your gate agent didn't follow your own protocol and gave our seats away well before they should have.
Sat Nov 26 23:51:19 +0000 2016,RevRuth Hawley-Lowry,,,@Delta How will these decisions be determined?Not just @Delta issue but also @united @AmericanAir @SouthwestAir When people mean who is off?
Sat Nov 26 23:50:44 +0000 2016,B. Mitchell,,,@AmericanAir back in Charlotte waiting on a gate.  Same old wait as usual.  D5.  Too many flights for the number of gates.
Sat Nov 26 23:50:20 +0000 2016,Leticia Echavarria,,,@AmericanAir @helenenothelen
Sat Nov 26 23:47:27 +0000 2016,Stephen X Flynn,,,@AmericanAir how do you purchase priority boarding after you've already bought the Main cabin ticket?
Sat Nov 26 23:44:43 +0000 2016,Aleks Kobilarov,,,"@pizzainmotion @tmount @garyleff @AmericanAir Same here, EXP but  booked Frontier for the next trip. Can't justify AA premium anymore."
Sat Nov 26 23:41:42 +0000 2016,Nicolette,,,"@AmericanAir 
@tell passengers @ airport ""should have been prepared"" &amp; take off w/ 1/2 empty plane 2 days after thanksgiving #servicefail"
Sat Nov 26 23:39:44 +0000 2016,Soph,,,@helenenothelen @AmericanAir uniforms are making thousands sick. testing of the fabric shows pesticides and formaldehyde in the uniforms.
Sat Nov 26 23:38:50 +0000 2016,Nicolette,,,"@AmericanAir  then ""find"" a new crew and decide to take off at noon after all with no notice"
