Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 23:54:52 +0000 2016,Sarah Urbonas,,,Things that are as lost as my suitcase on @VirginAmerica: America's dignity.
Tue Nov 22 23:46:45 +0000 2016,Sarah Urbonas,,,.@JetBlue I'm sorry I ever left you for @VirginAmerica. You're much more experienced in handling my needs. #Hour5OfMissingBaggage
Tue Nov 22 23:37:44 +0000 2016,Sarah Urbonas,,,Usually it's the Virgin that gets screwed. But not when you fly @VirginAmerica!
Tue Nov 22 23:37:21 +0000 2016,Sarah Urbonas,,,.@VirginAmerica You could find my luggage &amp; stop replying w canned tweets. As you can see there's plenty of originality w a name like Virgin
Tue Nov 22 23:33:56 +0000 2016,Sarah Urbonas,,,"Rolling out the big puns until @VirginAmerica can figure out where they ""misplaced"" my gigantic suitcase. Suggestions welcome."
Wed Nov 23 23:36:45 +0000 2016,Farah Chatila,,,"But the fun part is, we are playing the penny game! _Ÿ˜‚Way to keep us entertained @VirginAmerica!"
Wed Nov 23 23:30:18 +0000 2016,Farah Chatila,,,My flight is delayed because the inflight crew is stuck in traffic. _Ÿ˜_That's sadly funny! #LGA #PlanAhead #thanksgivingeve @VirginAmerica
Wed Nov 23 23:29:47 +0000 2016,Napolis,,,"@VirginAmerica 5hours of driving just so we have to wait for your flight attendants,  enjoying new york is more important than our flight!"
Wed Nov 23 23:13:15 +0000 2016,Venantius,,,@VirginAmerica How do I file a ticket to get reimbursed for having another passenger steal something from me?
Wed Nov 23 23:03:58 +0000 2016,Napolis,,,@VirginAmerica you guys should seriously hire some more quality workers.
Thu Nov 24 23:44:28 +0000 2016,Jennifer Finley,,,"@VirginAmerica What gives? I order an adult beverage to enjoy on my flight from SFO to DEN, but unfortunately I never received. Very sad!"
Thu Nov 24 23:27:19 +0000 2016,Kelly O'Toole,,,@virginamerica have to say worst flight I have ever taken. I spent over $750 to fly to LAX and spent an extra $40 to sit on the aisle
Thu Nov 24 23:23:34 +0000 2016,Fiona Unwin,,,"@VirginAmerica Yes, Happy Thanksgiving!"
Thu Nov 24 23:09:43 +0000 2016,Cashlin O'Connor,,,Are any airlines doing any gnarly Black Friday deals?? @Delta @AmericanAir @FijiAirways @VirginAmerica @SouthwestAir
Thu Nov 24 23:07:27 +0000 2016,Simona De Rosa _Ÿ‘‘,,,@VirginAmerica just realized I left my sunnies in the seat pocket. Any miracle you could do _Ÿ˜¢?
Fri Nov 25 23:45:56 +0000 2016,k _Ÿ’Œ,,,@VirginAmerica You just keep getting better and better. Larry is an excellent rowmate. https://t.co/R5ssYP6xAg
Fri Nov 25 23:38:23 +0000 2016,Good Vibrations,,,Meet us @ the HUMAN BE-IN 1/1/4/17 in San Francisco https://t.co/SeGT2NPhWU @VirginAmerica is $49 each way right no‰€_ https://t.co/3VV4B8vtLF
Fri Nov 25 23:36:30 +0000 2016,Manny Anekal,,,@MrBitterTV @Delta @VirginAmerica _Ÿ’¡
Fri Nov 25 23:36:17 +0000 2016,Ben Nichol,,,@mannyanekal @Delta I switched to @VirginAmerica this year. Never looking back
Fri Nov 25 23:15:26 +0000 2016,Zoe Wiseman Clouser,,,Hey @richardbranson I know YOU don't approve of this. Maybe you can talk some sense into @delta or someone‰€_ https://t.co/iktDMaYOie
Sat Nov 26 23:59:16 +0000 2016,Boy-Code-It,,,"@saranormous @VirginAmerica 
__ÊŒ´_! You ladies and guys enjoy your trip!"
Sat Nov 26 23:58:20 +0000 2016,Jennifer,,,@VirginAmerica Horrible customer service @VirginAmerica they don't care about customer service on hold for 1 hr and 1/2 wont give that price
Sat Nov 26 23:55:48 +0000 2016,Sarah Guo,,,.@VirginAmerica is awesome. My plane home is named Unicorn Chaser. _Ÿ_„
Sat Nov 26 23:15:38 +0000 2016,Paul Barrett,,,@VirginAmerica Any chance of a follow? #Please #ThankYou #WorldClassService I hope the magic word will do the trick for me
Sat Nov 26 22:54:56 +0000 2016,Jenna Wilkins,,,Should I be concerned that I can order wine while the rest of the cabin has to watch the @FAANews briefing?‰€_ https://t.co/56yIJU8OEz
