Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 23:53:51 +0000 2016,Thea McDonald,,,@SouthwestAir Appreciate the kind response. Any refund options or are we out of luck?
Tue Nov 22 23:53:03 +0000 2016,Kiera Bennett,,,"How about for every hour we are delayed we get a free drink coupon? @SouthwestAir , thoughts?"
Tue Nov 22 23:52:22 +0000 2016,Letitia Stellern,,,@SouthwestAir thanks for the reply!
Tue Nov 22 23:49:43 +0000 2016,Sippinonmy40,,,Not feeling the love from @SouthwestAir. I tried using the coupon from their massive outage and it expired. Customer service denied help. _üò¡
Tue Nov 22 23:49:41 +0000 2016,Mike,,,"@SouthwestAir Can't imagine the stress  flt atdnts deal with, but pls let them know their actions &amp; face expression towards customers matter"
,,,,
Wed Nov 23 23:56:41 +0000 2016,Anthony Rutledge,,,@SouthwestAir ugh. I think you are missing the point.
Wed Nov 23 23:55:46 +0000 2016,Sarah Howard,,,@SouthwestAir is handling this Thanksgiving travel beautifully. That bar is stocked. _üòò_üôå_üè_
Wed Nov 23 23:54:43 +0000 2016,KC Haman,,,Supposed to be taking off in 2 minutes and we haven't even boarded yet but @SouthwestAir still says we're on time _üôÑ
Wed Nov 23 23:54:31 +0000 2016,Amos Saint Jean,,,"Being 6'3"" and boarding a @SouthwestAir flight in the ""C"" boarding class is not a good combo, smh... my knees are gonna cuss me out, LOL"
Wed Nov 23 23:54:02 +0000 2016,jo,,,"Always manage to leave a bag on a plane with @SouthwestAir and never have they ""found"" our items. Hope this time they do _üôè_üè_"
,,,,
Thu Nov 24 23:51:29 +0000 2016,RWD,,,@SouthwestAir just landed on 2333 in cmh. Arlene is quite possibly the best flight attendant we have flown with. Henry loves her!
Thu Nov 24 23:47:59 +0000 2016,Meghan Kozlosky,,,@SouthwestAir This is unacceptable! Already distraught over my pet &amp; I now have to spend time away from my family trying to get my $ back!
Thu Nov 24 23:46:25 +0000 2016,Meghan Kozlosky,,,"@SouthwestAir But DID NOT change the reservation. Yet, my credit card was still charged. Cust. Ser. refunded a gift card used but not my CC!"
Thu Nov 24 23:45:43 +0000 2016,Meghan Kozlosky,,,"@SouthwestAir My beloved pet unexpectedly passed away this morning, and I contemplated changing my reservation to get home sooner...."
Thu Nov 24 23:44:54 +0000 2016,Cuee Wright,,,And s/o to @SouthwestAir flight attendants and full plane of ppl for singing happy birthday this morning
,,,,
Fri Nov 25 23:55:36 +0000 2016,Brett Fitzgerald,,,"@SouthwestAir yes, they shipped our bag to the wrong city twice. And it hasn't made it onto any of the flights to Ft Myers."
Fri Nov 25 23:55:19 +0000 2016,David Parker Brown,,,@SouthwestAir you guys still flying to Keywest? I could Google but I like talking to you!
Fri Nov 25 23:53:01 +0000 2016,Tina McGugan,,,@ccacy @Delta @SouthwestAir I haven't flown them since.
Fri Nov 25 23:52:59 +0000 2016,Logan Hart âõ_ï¸è _üèå,,,@granthaycraft  @SouthwestAir   BNA -&gt; DCA  T minus 14 days!
Fri Nov 25 23:52:10 +0000 2016,Amy Slanchik,,,"@SouthwestAir @SouthwestAir I had the row to myself, so enjoyed a good book! Happy holidays! Landed safely _üòä https://t.co/PnRiZCLL40"
,,,,
Sat Nov 26 23:58:58 +0000 2016,Chris Dowdy,,,"Hilarious staff on @SouthwestAir  just joked abt putting kids in airplane mode. It's funny bc women and children are annoying
wait"
Sat Nov 26 23:54:11 +0000 2016,joanna,,,"Complete standstill traffic, freeway closed. @SouthwestAir is so nice they let you change to the next available flight @ no cost."
Sat Nov 26 23:51:19 +0000 2016,RevRuth Hawley-Lowry,,,@Delta How will these decisions be determined?Not just @Delta issue but also @united @AmericanAir @SouthwestAir When people mean who is off?
Sat Nov 26 23:50:40 +0000 2016,Josh Schneider,,,"Thanks for nothing @SouthwestAir. I don't think your $70 ""refund"" is going to cover all of this. https://t.co/gkdnoftTXO"
Sat Nov 26 23:48:45 +0000 2016,Janu  Â¯\_(ãÉÑ)_/Â¯,,,"Man,  flying without WiFi is so inapprops.  Shout out to Southwest for WiFi. In other news @SouthwestAir the pilot is really handsome. _üòâ _üòâ"
